# 猫耳版を用意するアイコン名（Material Symbols の名前）と一行説明。設計書 §8。
# 形式: <name> <説明>。# で始まる行は無視。T1（icons/src/<name>.svg）が無ければ T2（自動耳）、Material Symbols に無ければ status.json に missing として記録される。

# --- 基本操作 ---
search 検索
file_upload アップロード（ファイル）
cloud_upload クラウドにアップロード
cloud_download クラウドからダウンロード
cloud クラウド
archive アーカイブ
unarchive アーカイブ解除
delete_forever 完全削除
delete_sweep まとめて削除
restore_from_trash ゴミ箱から戻す
inbox 受信箱
outbox 送信箱
drafts 下書き
database データベース
storage ストレージ
dns サーバー
code コード
terminal ターミナル
data_object データオブジェクト
bug_report バグ報告
extension 拡張

# --- コミュニケーション ---
mail メール
send 送信
chat チャット
chat_bubble 吹き出し
forum フォーラム
call 電話
phone 電話機
sms SMS
reply 返信
reply_all 全員に返信
forward 転送
mark_email_read 既読
mark_email_unread 未読
forward_to_inbox 受信箱へ転送
share 共有
link リンク
campaign お知らせ
feedback フィードバック
rate_review レビュー
reviews レビュー一覧
verified 認証済み
new_releases 新着

# --- 日時 ---
calendar_today カレンダー
calendar_month 月カレンダー
event 予定
date_range 期間
today 今日
event_available 予定あり
event_busy 予定が埋まっている
alarm アラーム
timer タイマー
pending_actions 保留中の操作

# --- メディア ---
image 画像
photo_camera カメラ
camera カメラ（絞り）
videocam ビデオカメラ
mic マイク
volume_up 音量
volume_off ミュート
play_arrow 再生
pause 一時停止
stop 停止
skip_next 次へ
skip_previous 前へ
headphones ヘッドホン
speaker スピーカー
palette パレット
brush ブラシ
format_paint ペイント
colorize スポイト
text_fields テキスト
title タイトル
format_bold 太字
format_italic 斜体
format_underlined 下線
format_size 文字サイズ
format_align_left 左揃え
format_align_center 中央揃え
format_align_right 右揃え
zoom_in 拡大
zoom_out 縮小
fullscreen 全画面
fullscreen_exit 全画面解除
fit_screen 画面に合わせる
crop 切り抜き
rotate_left 左回転
rotate_right 右回転
flip 反転
tune 調整

# --- アカウント・セキュリティ ---
account_circle アカウント
manage_accounts アカウント管理
admin_panel_settings 管理者設定
badge 名札
visibility 表示
visibility_off 非表示
lock ロック
lock_open ロック解除
key 鍵
password パスワード
security セキュリティ
shield シールド
verified_user 認証ユーザー
policy ポリシー
gavel 規約
privacy_tip プライバシー

# --- ビジネス・EC ---
shopping_cart カート
shopping_bag 買い物袋
store 店舗
storefront 店先
sell 販売
local_offer 値札
payments 支払い
credit_card クレジットカード
receipt レシート
receipt_long 明細
attach_money 金額
currency_yen 円
account_balance 銀行
account_balance_wallet 財布
trending_up 上昇
trending_down 下降
bar_chart 棒グラフ
pie_chart 円グラフ
show_chart 折れ線
analytics 分析
insights インサイト
leaderboard ランキング
work 仕事
business 会社
apartment ビル
home_work 在宅
school 学校
science 科学
build 工具
construction 工事
handyman 修理
local_shipping 配送
flight 飛行機
train 電車
directions_car 車
place 場所
location_on 位置
map 地図
navigation ナビ
near_me 現在地
directions 経路

# --- デバイス・状態 ---
smartphone スマートフォン
computer コンピュータ
laptop ノート PC
tablet タブレット
tv テレビ
keyboard キーボード
mouse マウス
wifi Wi-Fi
bluetooth Bluetooth
battery_full バッテリー
signal_cellular_alt 電波
lightbulb ひらめき
tips_and_updates ヒント
emoji_objects アイデア
toggle_on トグル ON
toggle_off トグル OFF
radio_button_checked ラジオ ON
radio_button_unchecked ラジオ OFF
check_box チェックボックス ON
check_box_outline_blank チェックボックス OFF
indeterminate_check_box チェックボックス一部
language 言語
translate 翻訳
public 公開
travel_explore 探索
explore 探検
dark_mode ダークモード
light_mode ライトモード
contrast コントラスト
nightlight 夜
wb_sunny 晴れ
ac_unit 雪
thermostat 温度
water_drop 水滴
eco エコ
park 公園
pets ペット
cruelty_free 動物
celebration お祝い
cake ケーキ
local_cafe カフェ
restaurant レストラン
health_and_safety 健康と安全
medical_services 医療
local_hospital 病院
medication 薬
vaccines ワクチン
monitor_heart 心拍
fitness_center ジム
directions_run ランニング
sports_esports ゲーム
sports_soccer サッカー
military_tech 勲章
workspace_premium プレミアム
settings_suggest 設定の提案
